,County,Population,Smoker %,smoke_pop,Drink %,drink_pop,Obese %,obese_pop,Inactive %,inactive_pop
51,lincoln,34366,0.24,8248,0.14,4811,0.35,12028,0.34,11684
52,loudon,54068,0.18,9732,0.13,7029,0.3,16220,0.28,15139
53,macon,24602,0.22,5412,0.14,3444,0.34,8365,0.35,8611
54,madison,97984,0.19,18617,0.12,11758,0.36,35274,0.27,26456
55,marion,28907,0.22,6360,0.14,4047,0.32,9250,0.3,8672
56,marshall,34375,0.2,6875,0.15,5156,0.32,11000,0.28,9625
57,maury,96387,0.21,20241,0.14,13494,0.33,31808,0.3,28916
58,mcminn,53794,0.25,13448,0.13,6993,0.31,16676,0.35,18828
59,mcnairy,25694,0.26,6680,0.13,3340,0.32,8222,0.31,7965
60,meigs,12422,0.23,2857,0.13,1615,0.33,4099,0.33,4099
61,monroe,46545,0.23,10705,0.13,6051,0.34,15825,0.31,14429
62,montgomery,208993,0.21,43889,0.17,35529,0.33,68968,0.25,52248
63,moore,6488,0.19,1233,0.14,908,0.31,2011,0.28,1817
64,morgan,21403,0.26,5565,0.15,3210,0.33,7063,0.32,6849
65,obion,30069,0.23,6916,0.12,3608,0.35,10524,0.35,10524
66,overton,22241,0.24,5338,0.13,2891,0.36,8007,0.31,6895
67,perry,8076,0.24,1938,0.12,969,0.29,2342,0.28,2261
68,pickett,5048,0.2,1010,0.12,606,0.31,1565,0.33,1666
69,polk,16832,0.22,3703,0.14,2356,0.33,5555,0.31,5218
70,putnam,80245,0.22,17654,0.16,12839,0.29,23271,0.23,18456
71,rhea,33167,0.24,7960,0.14,4643,0.32,10613,0.33,10945
72,roane,53382,0.21,11210,0.14,7473,0.35,18684,0.24,12812
73,robertson,71813,0.19,13644,0.15,10772,0.32,22980,0.3,21544
74,rutherford,332285,0.2,66457,0.18,59811,0.33,109654,0.25,83071
75,scott,22068,0.25,5517,0.14,3090,0.32,7062,0.32,7062
76,sequatchie,15026,0.2,3005,0.14,2104,0.34,5109,0.26,3907
77,sevier,98250,0.21,20632,0.14,13755,0.39,38318,0.32,31440
78,shelby,937166,0.21,196805,0.13,121832,0.35,328008,0.24,224920
79,smith,20157,0.21,4233,0.15,3024,0.32,6450,0.26,5241
80,stewart,13715,0.21,2880,0.14,1920,0.33,4526,0.29,3977
81,sullivan,158348,0.22,34837,0.12,19002,0.33,52255,0.28,44337
82,sumner,191283,0.19,36344,0.15,28692,0.34,65036,0.3,57385
83,tipton,61599,0.2,12320,0.15,9240,0.36,22176,0.32,19712
84,trousdale,11284,0.21,2370,0.15,1693,0.31,3498,0.26,2934
85,unicoi,17883,0.22,3934,0.13,2325,0.34,6080,0.27,4828
86,union,19972,0.23,4594,0.14,2796,0.36,7190,0.3,5992
87,van buren,5872,0.22,1292,0.13,763,0.33,1938,0.33,1938
88,warren,41277,0.23,9494,0.13,5366,0.35,14447,0.27,11145
89,washington,129375,0.21,27169,0.14,18112,0.3,38813,0.27,34931
90,wayne,16673,0.25,4168,0.14,2334,0.33,5502,0.38,6336
91,weakley,33328,0.21,6999,0.14,4666,0.35,11665,0.32,10665
92,white,27345,0.21,5742,0.13,3555,0.31,8477,0.29,7930
93,williamson,238412,0.15,35762,0.17,40530,0.25,59603,0.2,47682
94,wilson,144657,0.19,27485,0.17,24592,0.38,54970,0.24,34718
